CompYearlyUSD,Country,EdLevelSimplified,YearsCodeNum,Employment,DevTypePrimary,RemoteCategory,SalaryLog10
61256.0,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,Employed,"Developer, mobile",Remote,4.787148634085882
104413.0,Netherlands,Some college,10.0,Employed,"Developer, back-end",Hybrid-Flexible,5.018754574114343
53061.0,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,"Independent contractor, freelancer, or self-employed","Developer, front-end",,4.724775430538687
36197.0,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,Employed,"Developer, back-end",Remote,4.558672577786327
60000.0,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,"Independent contractor, freelancer, or self-employed",Engineering manager,,4.778151250383644
120000.0,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,"Independent contractor, freelancer, or self-employed","Developer, back-end",,5.079181246047625
6240.0,Ukraine,Some college,13.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,3.795184589682424
72000.0,Ukraine,Some college,30.0,Employed,"Architect, software or solutions",Remote,4.857332496431268
70000.0,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,Employed,Data engineer,Remote,4.845098040014257
5400.0,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Employed,"Developer, mobile",Remote,3.7323937598229686
65691.0,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,Employed,"Developer, back-end",Remote,4.8175058730898055
14400.0,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,Employed,"Developer, back-end",Remote,4.158362492095249
1099.0,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,"Independent contractor, freelancer, or self-employed","Developer, front-end",,3.0409976924234905
87500.0,United States of America,Some college,11.0,Employed,"Developer, full-stack",Remote,4.942008053022313
108913.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",41.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,5.037079720814586
162421.0,Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,5.210642180043727
209643.0,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36.0,Employed,"Developer, full-stack",Hybrid-InPerson,5.3214803658470196
78000.0,Dominican Republic,Some college,13.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",Remote,4.892094602690481
205000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Employed,"Developer, mobile",Remote,5.311753861055754
250000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,Employed,"Developer, full-stack",Remote,5.3979400086720375
175000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,Employed,Data engineer,Hybrid-InPerson,5.243038048686294
95132.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, back-end",Hybrid-Choice,4.978326627198064
109000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,Employed,"Developer, full-stack",In-person,5.037426497940624
91215.0,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,Employed,"Developer, full-stack",Remote,4.960066262468352
150000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,Employed,"Developer, full-stack",Hybrid-InPerson,5.176091259055681
99999.0,United States of America,Some college,38.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.999995657033466
270000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Employed,"Developer, front-end",Remote,5.431363764158987
250000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,Employed,"Developer, mobile",Remote,5.3979400086720375
43810.0,Czech Republic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,Employed,"Developer, game or graphics",Remote,4.6415732531781755
80966.0,Hungary,Some college,23.0,Employed,AI/ML engineer,Hybrid-Flexible,4.908302684158997
28275.0,Malaysia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,"Developer, back-end",Hybrid-Flexible,4.451402613597493
142949.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,Employed,"Senior executive (C-suite, VP, etc.)",Remote,5.1551811215967644
117793.0,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Employed,Academic researcher,Hybrid-Flexible,5.071119482711683
75410.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19.0,Employed,"Developer, game or graphics",Hybrid-InPerson,4.87742894078822
81210.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,Employed,"Developer, game or graphics",Hybrid-Flexible,4.909609510490169
63909.0,Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Employed,"Architect, software or solutions",Hybrid-InPerson,4.80556202208807
151000.0,United States of America,Some college,8.0,Employed,"Developer, full-stack",Remote,5.17897694729317
83531.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,Employed,"Developer, full-stack",Hybrid-Choice,4.921847680638257
46406.0,Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Employed,"Developer, desktop or enterprise applications",Hybrid-InPerson,4.666574135693451
151117.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Employed,"Developer, full-stack",Remote,5.179313323312545
67289.0,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,"Developer, back-end",Remote,4.827944074183014
197225.0,Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,"Independent contractor, freelancer, or self-employed","Founder, technology or otherwise",,5.294961964732401
245000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",41.0,Employed,"Developer, full-stack",Remote,5.389166084364533
75472.0,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Employed,"Developer, back-end",Hybrid-InPerson,4.8777858589016265
