name,MAE,MedAE,MAPE,RMSE,R2
HistGradientBoosting+LogTarget,33046.803324403314,20015.197325228,85.86929874135421,54431.58345685988,0.4510804882406624
HGB_Log_Reduced,33403.78468231343,20175.84545913835,89.40229835286459,54969.09637446447,0.44018577865505815
HGB_Tuned,34236.2877734233,22925.997431815238,125.60834817896051,53257.8725102792,0.474498017388018
HistGradientBoosting,34311.14350688998,22812.534912181523,126.79999142404226,53223.34562397106,0.47517915859872417
LinearRegression+LogTarget,34510.53923429484,20468.853097051993,83.9995147253549,56520.6975746439,0.40813622754394596
LinearRegression,34890.761143446194,23592.498907162022,122.87706776573005,53966.071690475306,0.46042931865627745
LassoCV,34901.86138785696,23594.910945319665,123.06282279795388,53969.875772310836,0.4603532470317656
ElasticNetCV,34925.909410894725,23635.46779249955,124.33816438212173,54005.74817394299,0.4596356297198537
RidgeCV,34942.432826207005,23655.970097782585,123.93403670445235,53999.815104818605,0.45975435201009385
RF_Tuned,35328.347802569835,24391.25968793854,131.13363410253206,54248.37062197833,0.4547695172668166
GradientBoosting,35448.014012646374,24442.915417648743,145.08213089622657,54073.739102623396,0.4582741819639916
RandomForest,36354.083726666075,23950.25322486776,128.7668747967365,56006.45315647089,0.4188571866683821
DummyMedian,51959.185650224215,38285.0,238.0798053365819,74877.01475587931,-0.03873262928901
DummyMean,53507.32252542112,43807.82062780269,283.93878285254897,73468.54189464827,-2.2042253019716185e-05
